2019/06/16 22:52:51 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877073" "./SAMEA1877073" "-vv"]
2019/06/16 22:52:51 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:52:53 DEBUG : Keeping previous permissions for config file: -rw-r--r--
2019/06/16 22:52:53 DEBUG : onedrive-em: Saved new token in config file
2019/06/16 22:52:55 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877073: Modify window is 1s
2019/06/16 22:58:33 INFO  : snps.html: Copied (new)
2019/06/16 22:58:33 INFO  : snps.log: Copied (new)
2019/06/16 22:58:34 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:58:34 INFO  : snps.tab: Copied (new)
2019/06/16 22:58:35 INFO  : snps.txt: Copied (new)
2019/06/16 22:58:35 INFO  : snps.depth.gz: Copied (new)
2019/06/16 22:58:35 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:58:35 INFO  : snps.vcf: Copied (new)
2019/06/16 22:58:36 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 22:58:36 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 22:58:37 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 22:58:38 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 22:58:38 INFO  : reference/ref.fa: Copied (new)
2019/06/16 22:58:39 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 22:58:39 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 22:58:39 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877101: Waiting for checks to finish
2019/06/16 22:58:39 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877101: Waiting for transfers to finish
2019/06/16 22:58:40 INFO  : reference/ref.txt: Copied (new)
2019/06/16 22:58:40 INFO  : reference/ref.gff: Copied (new)
2019/06/16 22:58:41 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 22:58:41 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 22:58:42 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 22:58:42 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 22:58:44 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 22:58:48 INFO  : snps.bam: Copied (new)
2019/06/16 22:58:48 INFO  : 
Transferred:   445.860 MBytes (18.138 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       24.5s

2019/06/16 22:58:48 DEBUG : 20 go routines active
2019/06/16 22:58:48 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877101" "./SAMEA1877101" "-vv"]
2019/06/16 22:58:48 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877109" "./SAMEA1877109" "-vv"]
2019/06/16 22:58:48 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:58:50 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877109: Modify window is 1s
2019/06/16 22:58:51 INFO  : snps.bed: Copied (new)
2019/06/16 22:58:51 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:58:53 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:58:53 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:58:54 INFO  : snps.csv: Copied (new)
2019/06/16 22:58:55 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:58:55 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:58:56 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:58:56 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:58:56 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:58:57 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:58:58 INFO  : snps.html: Copied (new)
2019/06/16 22:58:58 INFO  : snps.log: Copied (new)
2019/06/16 22:58:58 INFO  : snps.gff: Copied (new)
2019/06/16 22:58:58 INFO  : snps.depth.gz: Copied (new)
2019/06/16 22:58:59 INFO  : snps.txt: Copied (new)
2019/06/16 22:58:59 INFO  : snps.tab: Copied (new)
2019/06/16 22:58:59 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:59:00 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 22:59:00 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:59:00 INFO  : snps.vcf: Copied (new)
2019/06/16 22:59:00 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 22:59:01 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 22:59:01 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 22:59:02 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 22:59:02 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 22:59:03 INFO  : reference/ref.fa: Copied (new)
2019/06/16 22:59:03 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877109: Waiting for checks to finish
2019/06/16 22:59:03 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877109: Waiting for transfers to finish
2019/06/16 22:59:03 INFO  : reference/ref.txt: Copied (new)
2019/06/16 22:59:04 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 22:59:04 INFO  : reference/ref.gff: Copied (new)
2019/06/16 22:59:05 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 22:59:05 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 22:59:06 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 22:59:07 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 22:59:16 INFO  : snps.bam: Copied (new)
2019/06/16 22:59:16 INFO  : 
Transferred:   589.332 MBytes (21.152 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       27.8s

2019/06/16 22:59:16 DEBUG : 21 go routines active
2019/06/16 22:59:16 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877109" "./SAMEA1877109" "-vv"]
2019/06/16 22:59:16 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877112_L1" "./SAMEA1877112_L1" "-vv"]
2019/06/16 22:59:16 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:59:17 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877112_L1: Modify window is 1s
2019/06/16 22:59:18 INFO  : snps.bed: Copied (new)
2019/06/16 22:59:18 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:59:21 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:59:21 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:59:22 INFO  : snps.csv: Copied (new)
2019/06/16 22:59:22 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:59:23 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:59:23 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:59:24 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:59:24 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:59:25 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:59:25 INFO  : snps.depth.gz: Copied (new)
2019/06/16 22:59:25 INFO  : snps.gff: Copied (new)
2019/06/16 22:59:25 INFO  : snps.log: Copied (new)
2019/06/16 22:59:26 INFO  : snps.html: Copied (new)
2019/06/16 22:59:26 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:59:26 INFO  : snps.tab: Copied (new)
2019/06/16 22:59:27 INFO  : snps.txt: Copied (new)
2019/06/16 22:59:27 INFO  : snps.vcf: Copied (new)
2019/06/16 22:59:27 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:59:27 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 22:59:28 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 22:59:28 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 22:59:29 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 22:59:29 INFO  : reference/ref.fa: Copied (new)
2019/06/16 22:59:30 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 22:59:31 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 22:59:31 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877112_L1: Waiting for checks to finish
2019/06/16 22:59:31 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877112_L1: Waiting for transfers to finish
2019/06/16 22:59:31 INFO  : reference/ref.txt: Copied (new)
2019/06/16 22:59:32 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 22:59:32 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 22:59:33 INFO  : reference/ref.gff: Copied (new)
2019/06/16 22:59:33 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 22:59:36 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 22:59:38 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 22:59:44 INFO  : snps.bam: Copied (new)
2019/06/16 22:59:44 INFO  : 
Transferred:   573.691 MBytes (19.960 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       28.7s

2019/06/16 22:59:44 DEBUG : 21 go routines active
2019/06/16 22:59:44 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877112_L1" "./SAMEA1877112_L1" "-vv"]
2019/06/16 22:59:44 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877117" "./SAMEA1877117" "-vv"]
2019/06/16 22:59:44 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:59:46 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877117: Modify window is 1s
2019/06/16 22:59:47 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:59:47 INFO  : snps.bed: Copied (new)
2019/06/16 22:59:50 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:59:50 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:59:51 INFO  : snps.csv: Copied (new)
2019/06/16 22:59:52 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:59:53 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:59:53 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:59:53 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:59:54 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:59:54 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:59:55 INFO  : snps.gff: Copied (new)
2019/06/16 22:59:55 INFO  : snps.html: Copied (new)
2019/06/16 22:59:56 INFO  : snps.log: Copied (new)
2019/06/16 22:59:57 INFO  : snps.tab: Copied (new)
2019/06/16 22:59:57 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:59:58 INFO  : snps.vcf: Copied (new)
2019/06/16 22:59:58 INFO  : snps.txt: Copied (new)
2019/06/16 22:59:59 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:59:59 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 23:00:00 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 23:00:00 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 23:00:02 INFO  : reference/ref.fa: Copied (new)
2019/06/16 23:00:03 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 23:00:05 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 23:00:05 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 23:00:06 INFO  : snps.depth.gz: Copied (new)
2019/06/16 23:00:06 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877117: Waiting for checks to finish
2019/06/16 23:00:06 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877117: Waiting for transfers to finish
2019/06/16 23:00:07 INFO  : reference/ref.txt: Copied (new)
2019/06/16 23:00:07 INFO  : reference/ref.gff: Copied (new)
2019/06/16 23:00:08 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 23:00:08 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 23:00:08 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 23:00:10 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 23:00:10 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 23:00:13 INFO  : snps.bam: Copied (new)
2019/06/16 23:00:13 INFO  : 
Transferred:   597.323 MBytes (21.054 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       28.3s

2019/06/16 23:00:13 DEBUG : 20 go routines active
2019/06/16 23:00:13 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877117" "./SAMEA1877117" "-vv"]
2019/06/16 23:00:13 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877126" "./SAMEA1877126" "-vv"]
2019/06/16 23:00:13 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 23:00:14 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877126: Modify window is 1s
2019/06/16 23:00:15 INFO  : snps.bam.bai: Copied (new)
2019/06/16 23:00:15 INFO  : snps.bed: Copied (new)
2019/06/16 23:00:18 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 23:00:18 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 23:00:19 INFO  : snps.csv: Copied (new)
2019/06/16 23:00:20 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 23:00:20 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 23:00:20 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 23:00:20 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 23:00:21 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 23:00:21 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 23:00:22 INFO  : snps.gff: Copied (new)
2019/06/16 23:00:22 INFO  : snps.html: Copied (new)
2019/06/16 23:00:23 INFO  : snps.log: Copied (new)
2019/06/16 23:00:23 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 23:00:23 INFO  : snps.tab: Copied (new)
2019/06/16 23:00:24 INFO  : snps.txt: Copied (new)
2019/06/16 23:00:24 INFO  : snps.vcf: Copied (new)
2019/06/16 23:00:25 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 23:00:25 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 23:00:26 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 23:00:27 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 23:00:27 INFO  : reference/ref.fa: Copied (new)
2019/06/16 23:00:28 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 23:00:29 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 23:00:29 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 23:00:30 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 23:00:30 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877126: Waiting for checks to finish
2019/06/16 23:00:30 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877126: Waiting for transfers to finish
2019/06/16 23:00:31 INFO  : reference/ref.txt: Copied (new)
2019/06/16 23:00:32 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 23:00:32 INFO  : reference/ref.gff: Copied (new)
2019/06/16 23:00:33 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 23:00:34 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 23:00:34 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 23:01:14 INFO  : 
Transferred:   81.676 MBytes (1.332 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           33
Elapsed time:      1m1.3s
Transferring:
 *                                      snps.bam: 28% /140.647M, 376.705k/s, 4m33s
 *                                 snps.depth.gz:  3% /13.893M, 15.833k/s, 14m26s

2019/06/16 23:01:37 INFO  : snps.depth.gz: Copied (new)
2019/06/16 23:02:14 INFO  : 
Transferred:   119.073 MBytes (1005.188 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      2m1.3s
Transferring:
 *                                      snps.bam: 45% /140.647M, 269.060k/s, 4m51s

2019/06/16 23:03:14 INFO  : 
Transferred:   159.073 MBytes (898.452 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      3m1.3s
Transferring:
 *                                      snps.bam: 73% /140.647M, 752.018k/s, 49s

2019/06/16 23:04:05 INFO  : snps.bam: Copied (new)
2019/06/16 23:04:05 INFO  : 
Transferred:   195.724 MBytes (861.421 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:     3m52.6s

2019/06/16 23:04:05 DEBUG : 7 go routines active
2019/06/16 23:04:05 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877126" "./SAMEA1877126" "-vv"]
